id,program_id
2568,23
1570,49
1571,49
1572,49
1573,49
1574,49
1575,49
1578,50
1579,50
1580,50
1581,50
1582,50
1583,50
143,75
1765,77
1659,80
193,82
342,83
343,83
344,83
4536,83
2368,94
2313,118
1925,120
1926,120
1927,120
488,124
489,124
490,124
491,124
1337,124
1338,124
2448,130
5113,132
2298,135
2071,144
1188,154
2547,166
2548,166
159,173
434,180
2541,186
2062,198
692,205
505,234
41,241
1480,248
1481,248
1482,248
4538,248
4667,314
1750,327
2005,344
2006,344
1286,352
2134,358
2135,358
1176,366
2381,378
2382,378
2383,378
474,389
2399,404
2838,416
2009,417
2449,421
2450,421
1766,453
2843,486
1187,496
1949,501
1950,501
1951,501
4359,502
4360,502
2092,506
166,511
698,540
693,541
694,541
695,541
696,541
697,541
2106,542
228,552
229,552
230,552
1974,569
1975,569
1976,569
1977,569
1978,569
1979,569
109,589
110,589
2061,598
194,611
1175,612
1129,624
2393,630
2394,630
2395,630
2396,630
4356,630
4357,630
1903,631
1904,631
2086,638
2087,638
2088,638
2089,638
2090,638
2091,638
3147,638
4789,638
4790,638
876,658
877,658
878,658
1785,678
1727,701
1728,701
545,728
546,728
198,734
1958,738
1959,738
1317,740
5360,740
5361,740
2350,756
2384,764
471,846
472,846
2013,846
351,888
2110,908
2113,909
2095,910
2096,910
2111,911
2107,912
2112,913
501,936
502,936
2785,953
1186,978
79,1048
1783,1056
2502,1084
2503,1084
2504,1084
156,1088
3115,1091
3116,1091
71,1092
4584,1106
4255,1128
4256,1128
4257,1128
4258,1128
4259,1128
4260,1128
4261,1128
2165,1132
2166,1132
3552,1132
3553,1132
5146,1142
3554,1144
3555,1144
5143,1144
5144,1144
5145,1144
5657,1144
5658,1144
5659,1144
5660,1144
1295,1150
2986,1151
2987,1151
2988,1151
5206,1151
5153,1158
3793,1169
3794,1169
3795,1169
3797,1174
1891,1176
1892,1176
1842,1177
1843,1177
154,1186
359,1206
1973,1218
431,1229
1917,1230
4,1235
2038,1239
2039,1239
2040,1239
2041,1239
5633,1239
5634,1239
2464,1242
36,1255
37,1255
2371,1264
458,1276
459,1276
743,1277
744,1277
2719,1289
2720,1289
2721,1289
2723,1289
5358,1289
5359,1289
2783,1292
540,1295
541,1295
382,1296
383,1296
384,1296
386,1296
387,1296
388,1296
389,1296
2145,1299
2146,1299
2147,1299
2148,1299
2149,1299
2150,1299
2151,1299
2621,1300
2623,1300
5787,1300
1132,1333
1130,1335
93,1342
94,1342
95,1342
96,1342
4976,1342
3384,1344
3385,1344
3386,1344
3387,1344
3388,1344
3389,1344
3179,1346
3180,1346
3181,1346
3182,1346
3183,1346
1867,1352
3021,1356
5835,1356
5836,1356
5837,1356
3065,1373
3066,1373
3067,1373
3068,1373
5654,1373
5655,1373
3267,1374
3268,1374
3269,1374
3270,1374
3271,1374
3272,1374
3380,1392
3381,1392
3382,1392
3383,1392
3405,1394
3406,1394
3367,1406
3368,1406
3369,1406
3370,1406
3371,1406
3372,1406
3373,1406
3374,1406
4156,1415
4157,1415
4158,1415
4159,1415
4160,1415
4161,1415
4606,1420
4607,1420
4608,1420
4609,1420
4610,1420
4611,1420
4612,1420
4613,1420
4614,1420
4615,1420
2787,1427
2788,1427
2790,1427
5080,1428
5081,1428
5082,1428
5083,1428
4421,1441
4422,1441
4423,1441
4424,1441
4425,1441
4426,1441
1324,1450
2978,1451
3906,1455
4756,1458
4757,1458
4758,1458
4759,1458
4760,1458
4761,1458
4762,1458
4763,1458
4764,1458
4765,1458
4766,1458
4767,1458
4768,1458
4745,1459
4746,1459
4747,1459
4748,1459
4749,1459
4750,1459
4751,1459
4791,1461
4792,1461
4793,1461
4794,1461
4795,1461
4796,1461
4799,1463
4800,1463
4801,1463
4802,1463
4803,1463
2170,1491
1632,1492
1634,1492
2725,1503
1880,1510
1881,1510
2456,1518
3825,1522
3826,1522
3827,1522
3828,1522
3829,1522
326,1531
327,1531
329,1531
330,1531
331,1531
332,1531
333,1531
334,1531
1585,1534
1586,1534
1587,1534
5408,1534
5409,1534
5410,1534
2115,1536
2116,1536
2118,1536
2121,1536
5674,1536
2253,1544
2254,1544
2217,1549
2218,1549
2219,1549
2220,1549
5735,1549
3574,1553
3575,1553
3576,1553
3577,1553
3578,1553
4358,1565
1007,1570
1008,1570
1009,1570
1010,1570
1011,1570
5618,1570
5619,1570
5620,1570
5621,1570
5622,1570
5623,1570
703,1571
704,1571
705,1571
706,1571
707,1571
708,1571
709,1571
710,1571
711,1571
5560,1572
5561,1572
1040,1574
1041,1574
1042,1574
5615,1574
5616,1574
5617,1574
804,1575
805,1575
806,1575
807,1575
809,1575
5562,1575
5563,1575
5564,1575
5565,1575
5566,1575
5567,1575
5568,1575
5569,1575
5570,1575
5571,1575
5572,1575
5573,1575
5574,1575
5575,1575
5576,1575
712,1576
713,1576
714,1576
715,1576
716,1576
717,1576
718,1576
719,1576
720,1576
721,1576
722,1576
734,1577
735,1577
736,1577
737,1577
738,1577
80,1578
4836,1580
4837,1580
4838,1580
4839,1580
4840,1580
4841,1580
4842,1580
4843,1580
4852,1580
4853,1581
4854,1581
4855,1581
4856,1581
4857,1581
4858,1581
4859,1581
4860,1581
5025,1589
5026,1589
5027,1589
5028,1589
5029,1589
5030,1589
5031,1589
5032,1589
5033,1589
5034,1589
5035,1589
5036,1589
261,1590
263,1590
3824,1590
2124,1592
1749,1593
2430,1608
4295,1613
4296,1613
4297,1613
4298,1613
3879,1614
3880,1614
3881,1614
3882,1614
3883,1614
3884,1614
3885,1614
4299,1615
845,1623
846,1623
847,1623
848,1623
849,1623
850,1623
5613,1623
5614,1623
4164,1630
4165,1630
4166,1630
4167,1630
4168,1630
4169,1630
4197,1643
4198,1643
4199,1643
4200,1643
4201,1643
4202,1643
4203,1643
4204,1643
4205,1643
4206,1643
4207,1643
4208,1643
4242,1645
4243,1645
4244,1645
4884,1651
3898,1659
3899,1659
3900,1659
3901,1659
3902,1659
3903,1659
3904,1659
3905,1659
2316,1661
3874,1663
3875,1663
3876,1663
3877,1663
3878,1663
864,1664
865,1664
866,1664
867,1664
868,1664
4320,1665
4321,1665
4322,1665
4323,1665
857,1666
859,1666
860,1666
861,1666
863,1666
2979,1674
5861,1674
5862,1674
5365,1679
2314,1682
4341,1684
4342,1684
4343,1684
4344,1684
4345,1684
4346,1684
4047,1686
4048,1686
4049,1686
4050,1686
4051,1686
2475,1687
4290,1689
4291,1689
4292,1689
4293,1689
4294,1689
4804,1692
4805,1692
4806,1692
4807,1692
4808,1692
4809,1692
4810,1692
4825,1692
4826,1692
4827,1692
5404,1692
5405,1692
4844,1700
4845,1700
