id,parameter_set_id,source,qualifier,amount,units
14536,4117,Incentive,max,40.0000,$
14591,4126,Incentive,min,10.0000,$/Unit
14592,4126,Incentive,max,30.0000,$
14593,4127,Incentive,min,3.0000,$/Unit
14594,4127,Incentive,max,7.0000,$
14595,4128,Incentive,min,1.0000,$/Unit
14596,4128,Incentive,max,3.0000,$
14639,4129,Incentive,,50.0000,$/Unit
14640,4130,Incentive,,10.0000,$/Unit
14641,4131,Incentive,min,1.5000,$/bulb
14642,4131,Incentive,max,4.0000,$
14643,4132,Incentive,min,20.0000,$/Unit
14644,4132,Incentive,max,50.0000,$
14645,4133,Incentive,min,25.0000,$/Unit
14646,4133,Incentive,max,350.0000,$
14647,4134,Incentive,min,250.0000,$/Unit
14648,4134,Incentive,max,350.0000,$
14649,4135,Incentive,,150.0000,$/Unit
14650,4136,Incentive,,200.0000,$/ton
14651,4137,Incentive,,25.0000,$/Unit
14652,4138,Incentive,,100.0000,$/Unit
14653,4118,Incentive,min,50.0000,$/Unit
14654,4118,Incentive,max,250.0000,$
14655,4119,Incentive,min,20.0000,$/Unit
14656,4119,Incentive,max,60.0000,$
14657,4120,Incentive,min,15.0000,$/Unit
14658,4120,Incentive,max,30.0000,$
14659,4121,Incentive,max,1000.0000,$
14660,4122,Incentive,min,200.0000,$/Unit
14661,4122,Incentive,max,1000.0000,$
14662,4123,Incentive,,200.0000,$/ton
14663,4124,Incentive,,50.0000,$/Unit
14664,4125,Incentive,,25.0000,$/Unit
14679,4139,Incentive,min,25.0000,$/Unit
14680,4139,Incentive,max,50.0000,$
14681,4140,Incentive,min,25.0000,$/Unit
14682,4140,Incentive,max,40.0000,$
14683,4141,Incentive,min,50.0000,$/Unit
14684,4141,Incentive,max,100.0000,$
14685,4142,Incentive,min,15.0000,$/Unit
14686,4142,Incentive,max,40.0000,$
14687,4143,Incentive,,50.0000,%
14688,4144,Incentive,min,25.0000,$/Unit
14689,4144,Incentive,max,200.0000,$
14690,4145,Incentive,min,100.0000,$/Unit
14691,4145,Incentive,max,200.0000,$
14692,4146,Incentive,,200.0000,$/ton
14711,3798,Incentive,min,250.0000,$/Unit
14712,3799,Incentive,min,300.0000,$/Unit
14713,3800,Incentive,,1500.0000,$/Unit
14714,3801,Incentive,min,2.0000,"$/square foot"
14715,3802,Incentive,min,0.2000,"$/square foot"
14716,3803,Incentive,min,100.0000,$/Unit
14717,2464,Incentive,,500.0000,$/Unit
14724,4147,Incentive,,0.4000,"$/square foot"
14725,4147,Incentive,max,0.4000,
14726,4148,Incentive,min,250.0000,$/Unit
14727,4148,Incentive,max,1000.0000,$
14728,4149,Incentive,,200.0000,$/Unit
14729,4150,Incentive,min,100.0000,$/Unit
14730,4150,Incentive,max,300.0000,$
14731,4151,Incentive,min,0.4000,"$/square foot"
14732,4151,Incentive,max,0.4000,$
14733,4152,Incentive,min,250.0000,$/Unit
14734,4152,Incentive,max,1000.0000,$
14735,4153,Incentive,,200.0000,$/Unit
14736,4154,Incentive,,100.0000,$/Unit
14737,4155,Incentive,,1.0000,"$/therm displaced"
14738,4155,Incentive,max,999999.9999,$
14785,2493,Incentive,,100.0000,$/kW
14786,2494,Incentive,min,500.0000,$/Unit
14787,2494,Incentive,max,700.0000,$
14788,2495,Incentive,min,50.0000,$/Unit
14789,2495,Incentive,max,100.0000,$
14790,2496,Incentive,,600.0000,$/Unit
14791,2496,Incentive,max,800.0000,$
14792,2497,Incentive,,600.0000,$/Unit
14793,2497,Incentive,max,800.0000,$
14794,2498,Incentive,,0.1500,"$/square foot"
